author_cell_type	CL_label	CL_ID	reference	dataset_version
AC_B_07	amacrine cell	CL:0000561	https://doi.org/10.1016/j.cell.2020.08.013	https://datasets.cellxgene.cziscience.com/228fc052-e279-4253-92f6-593ac3d32c58.h5ad
AC_B_02	amacrine cell	CL:0000561	https://doi.org/10.1016/j.cell.2020.08.013	https://datasets.cellxgene.cziscience.com/228fc052-e279-4253-92f6-593ac3d32c58.h5ad
Ast	astrocyte	CL:0000127	https://doi.org/10.1016/j.cell.2020.08.013	https://datasets.cellxgene.cziscience.com/228fc052-e279-4253-92f6-593ac3d32c58.h5ad
pigmented	retinal pigment epithelial cell	CL:0002586	https://doi.org/10.1016/j.cell.2020.08.013	https://datasets.cellxgene.cziscience.com/228fc052-e279-4253-92f6-593ac3d32c58.h5ad
amacrine	amacrine cell	CL:0000561	https://doi.org/10.1016/j.cell.2020.08.013	https://datasets.cellxgene.cziscience.com/228fc052-e279-4253-92f6-593ac3d32c58.h5ad
amacrine	unknown	unknown	https://doi.org/10.1016/j.cell.2020.08.013	https://datasets.cellxgene.cziscience.com/228fc052-e279-4253-92f6-593ac3d32c58.h5ad
cone	retinal cone cell	CL:0000573	https://doi.org/10.1016/j.cell.2020.08.013	https://datasets.cellxgene.cziscience.com/228fc052-e279-4253-92f6-593ac3d32c58.h5ad
horizontal	retina horizontal cell	CL:0000745	https://doi.org/10.1016/j.cell.2020.08.013	https://datasets.cellxgene.cziscience.com/228fc052-e279-4253-92f6-593ac3d32c58.h5ad
horizontal	unknown	unknown	https://doi.org/10.1016/j.cell.2020.08.013	https://datasets.cellxgene.cziscience.com/228fc052-e279-4253-92f6-593ac3d32c58.h5ad
bipolar	ON-bipolar cell	CL:0000749	https://doi.org/10.1016/j.cell.2020.08.013	https://datasets.cellxgene.cziscience.com/228fc052-e279-4253-92f6-593ac3d32c58.h5ad
bipolar	OFF-bipolar cell	CL:0000750	https://doi.org/10.1016/j.cell.2020.08.013	https://datasets.cellxgene.cziscience.com/228fc052-e279-4253-92f6-593ac3d32c58.h5ad
bipolar	rod bipolar cell	CL:0000751	https://doi.org/10.1016/j.cell.2020.08.013	https://datasets.cellxgene.cziscience.com/228fc052-e279-4253-92f6-593ac3d32c58.h5ad
macroglia	Mueller cell	CL:0000636	https://doi.org/10.1016/j.cell.2020.08.013	https://datasets.cellxgene.cziscience.com/228fc052-e279-4253-92f6-593ac3d32c58.h5ad
macroglia	astrocyte	CL:0000127	https://doi.org/10.1016/j.cell.2020.08.013	https://datasets.cellxgene.cziscience.com/228fc052-e279-4253-92f6-593ac3d32c58.h5ad
